Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
3/20/1998,79.5,81.8,79.5,,,,
3/23/1998,81.8,81.85,81.8,81.85,81.85,200,0.16
3/24/1998,81.9,81.9,81.9,81.9,81.9,1150,0.94
3/25/1998,90.1,90.1,90.1,90.1,90.1,250,0.23
3/26/1998,99.15,99.15,99.15,99.15,99.15,750,0.74
3/27/1998,102.3,102.3,102.3,102.3,102.3,1700,1.74
3/30/1998,102.35,102.35,102.35,102.35,102.35,200,0.2
3/31/1998,102.4,102.4,102.4,102.4,102.4,100,0.1
4/1/1998,0,0,0,102.4,106.5,100000,106.5
4/2/1998,117.15,117.15,117.15,117.15,117.15,50,0.06
4/3/1998,127.9,127.9,127.9,127.9,127.9,650,0.83
4/6/1998,127.95,127.95,127.95,127.95,127.95,150,0.19
4/7/1998,128,128,128,128,128,100,0.13
4/9/1998,140.8,140.8,140.8,140.8,140.8,150,0.21
4/10/1998,155.05,160,155.05,160,160,4150,6.57
4/13/1998,160,160.05,160,160.05,160.05,400,0.64
4/15/1998,176,176.1,176,176.1,176.1,1650,2.9
4/16/1998,193.5,193.75,190,193.75,193.75,15300,29.58
4/17/1998,193.75,195.5,174.8,180,182.35,133950,242.98
4/20/1998,179.9,199.9,175,199.9,199.35,111750,215.13
4/21/1998,199.9,199.95,194.05,199.95,199.95,6050,12.08
4/22/1998,213.55,219.95,211,216.5,216.35,20050,43.57
4/23/1998,219,238,210,231,230.8,23450,53.52
4/24/1998,249.75,249.75,249.75,249.75,249.75,10350,25.85
4/27/1998,249.8,249.85,249.8,249.85,249.85,600,1.5
4/28/1998,249.95,249.95,249.95,249.95,249.95,250,0.62
4/29/1998,274.95,274.95,274.95,274.95,274.95,900,2.47
4/30/1998,302.05,302.45,261.5,281.9,280.75,33700,95.22
5/4/1998,300,308.85,299.5,308.85,308.85,44250,135.3
5/5/1998,312.15,312.2,300.55,308.75,305.45,25850,80.35
5/6/1998,319.5,320,275,275,276.85,136400,403.49
5/8/1998,262,299,262,283.9,282.5,136850,396.53
5/11/1998,293,300,289,295,296.3,68600,202.14
5/12/1998,289,293.95,267,270.9,270.7,53300,146.2
5/13/1998,270.25,282.95,266,266.5,270.55,31500,86.36
5/14/1998,275.85,282,266,280,280.15,21000,57.79
5/15/1998,280,285,278,278.8,279.6,20450,57.7
5/18/1998,282.85,307.6,277.15,307.6,307.45,60550,181.37
5/19/1998,315,337,303,332,328.9,64950,211.41
5/20/1998,355,355,322,327,332.15,100800,337.17
5/21/1998,332.1,332.1,305,318,317.8,31200,99.9
5/22/1998,318,330,295,295.6,299.7,66050,207.04
5/25/1998,315,329.7,312,326.5,328.55,69550,228.09
5/26/1998,326.5,341,300,303,302.65,61950,193
5/27/1998,328,330,304,310.05,309.85,46200,144.23
5/28/1998,305,315.8,304.2,309,309.85,17650,54.99
5/29/1998,303.5,306,290.35,304.75,303.45,35400,106.26
6/1/1998,305,312,295.15,300,300.2,17500,53.17
6/2/1998,300.2,300.2,270.5,276,273.2,55800,161.13
6/3/1998,277,288,273,280,276.35,13600,37.75
6/4/1998,280,283,278,280.55,281.3,16500,46.39
6/5/1998,279,279.9,270,270,270.35,16800,46.13
6/8/1998,254,256,243.4,248.5,245.8,17000,41.58
6/9/1998,249,249.9,234,243,244.3,12650,30.76
6/10/1998,239,248,235.05,240,240.65,14250,34.44
6/11/1998,232,237.9,217,235,236.1,11300,25.99
6/12/1998,234.95,238.9,227.5,228,227.95,12700,29.47
6/15/1998,225,226.1,215.05,218.35,218.5,120000,269.73
6/16/1998,215,217,206,217,212.8,35100,74.75
6/17/1998,117,121.9,113,113,116.45,8500,10.12
6/18/1998,117,121.9,117,118.5,118.55,7000,8.34
6/19/1998,116.55,120,115,119.75,119,4350,5.09
6/22/1998,110.2,121,110.2,119,119,4600,5.4
6/23/1998,113,120.45,113,117,117,2100,2.46
6/24/1998,120,128.55,120,128.55,128.55,5650,7.09
6/25/1998,141,141.4,135,136,137.55,5250,7.34
6/26/1998,125,138,125,136.55,137.45,3550,4.8
6/29/1998,138,141,136.25,140.1,140.1,2050,2.85
6/30/1998,142,143,137,138.25,138.25,2400,3.35
7/1/1998,138,138,136.05,136.1,136.1,1050,1.44
7/2/1998,140,140,132.05,134,133.9,2500,3.33
7/3/1998,130.5,132,129.95,130.4,130.35,1750,2.28
7/6/1998,133,135,130,131,131,900,1.19
7/7/1998,125.15,133.95,125.15,132,132.5,1050,1.39
7/8/1998,132.9,136.5,130.25,136.5,135.3,1700,2.28
7/9/1998,137.3,138.3,135.25,136.5,136.5,1850,2.53
7/10/1998,137,138.5,134.15,137.7,135.7,3500,4.79
7/13/1998,139,140,136.5,138,138.25,5650,7.82
7/14/1998,135,145,132.1,142,141.65,12550,17.45
7/15/1998,142.15,148,142.15,144.2,144.2,2250,3.3
7/16/1998,147,155.75,147,155.75,155.75,3950,6.05
7/17/1998,168,168.2,168,168.2,168.2,1100,1.85
7/20/1998,181.7,181.7,181.7,181.7,181.7,11700,21.26
7/21/1998,167.5,196,167.5,177.05,180.65,17550,31.64
7/22/1998,189.95,195,170,173,173,9250,16.87
7/23/1998,179.85,186.85,163,163,169.6,25800,46.27
7/24/1998,163.5,173,160,160,160.6,9250,15.03
7/27/1998,162.5,162.5,148,148,149.7,7000,10.97
7/28/1998,152,152,138,138,138.65,7400,10.44
7/29/1998,145,149.7,145,149.7,149.25,7350,10.94
7/30/1998,160,160,148,151,149.95,3750,5.69
7/31/1998,150,150.4,148,149.2,149,1150,1.72
8/3/1998,142.5,147,140,144.65,144.65,1050,1.49
8/4/1998,141.25,141.85,133.5,135,134.8,2750,3.74
8/5/1998,135,137.95,134,137.95,137.95,7000,9.46
8/6/1998,140,140,136.3,136.5,136.55,1850,2.55
8/7/1998,136,136,130,135,135.3,900,1.21
8/10/1998,132,133.75,131.1,131.1,131.55,1300,1.71
8/11/1998,130.2,130.2,122.05,122.25,124.2,4450,5.61
8/12/1998,115,126.25,115,125.5,124.85,1100,1.35
